id,marathi_text,modi_text,char_len
11,मोडी लिपी ही ऐतिहासिक आहे.,𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲 𑘮𑘲 𑘋𑘝𑘱𑘮𑘰𑘭𑘱𑘎 𑘁𑘮𑘹.,26
12,मोडी लिपी मराठी भाषा लिहिण्यासाठी वापरली जात असे.,𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲 𑘦𑘨𑘰𑘙𑘲 𑘥𑘰𑘬𑘰 𑘩𑘱𑘮𑘱𑘜𑘿𑘧𑘰𑘭𑘰𑘙𑘲 𑘪𑘰𑘢𑘨𑘩𑘲 𑘕𑘰𑘝 𑘀𑘭𑘹.,49
13,जुनी कागदपत्रे मोडी लिपीत लिहिलेली आहेत.,𑘕𑘳𑘡𑘲 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘹 𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲𑘝 𑘩𑘱𑘮𑘱𑘩𑘹𑘩𑘲 𑘁𑘮𑘹𑘝.,40
14,इतिहास संशोधन मंडळात जुनी कागदपत्रे जपली आहेत.,𑘂𑘝𑘱𑘮𑘰𑘭 𑘭𑘽𑘫𑘻𑘠𑘡 𑘦𑘽𑘚𑘯𑘰𑘝 𑘕𑘳𑘡𑘲 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘹 𑘕𑘢𑘩𑘲 𑘁𑘮𑘹𑘝.,46
15,या गावाचे नाव देशमुख वाडी आहे.,𑘧𑘰 𑘐𑘰𑘪𑘰𑘓𑘹 𑘡𑘰𑘪 𑘟𑘹𑘫𑘦𑘳𑘏 𑘪𑘰𑘚𑘲 𑘁𑘮𑘹.,30
16,शेतकरी शेतात काम करत आहे.,𑘫𑘹𑘝𑘎𑘨𑘲 𑘫𑘹𑘝𑘰𑘝 𑘎𑘰𑘦 𑘎𑘨𑘝 𑘁𑘮𑘹.,25
17,शेतामध्ये गहू आणि ज्वारी पिकते.,𑘫𑘹𑘝𑘰𑘦𑘠𑘿𑘧𑘹 𑘐𑘮𑘴 𑘁𑘜𑘱 𑘕𑘿𑘪𑘰𑘨𑘲 𑘢𑘱𑘎𑘝𑘹.,31
18,आमच्या घरी आंब्याचे झाड आहे.,𑘁𑘦𑘓𑘿𑘧𑘰 𑘑𑘨𑘲 𑘁𑘽𑘤𑘿𑘧𑘰𑘓𑘹 𑘖𑘰𑘚 𑘁𑘮𑘹.,28
19,आंबा हे फळांचा राजा आहे.,𑘁𑘽𑘤𑘰 𑘮𑘹 𑘣𑘯𑘰𑘽𑘓𑘰 𑘨𑘰𑘕𑘰 𑘁𑘮𑘹.,24
20,सकाळी लवकर उठावे.,𑘭𑘎𑘰𑘯𑘲 𑘩𑘪𑘎𑘨 𑘄𑘙𑘰𑘪𑘹.,17
21,रोज व्यायाम करणे आरोग्यासाठी चांगले असते.,𑘨𑘻𑘕 𑘪𑘿𑘧𑘰𑘧𑘰𑘦 𑘎𑘨𑘜𑘹 𑘁𑘨𑘻𑘐𑘿𑘧𑘰𑘭𑘰𑘙𑘲 𑘓𑘰𑘽𑘐𑘩𑘹 𑘀𑘭𑘝𑘹.,41
22,पाणी जीवनासाठी आवश्यक आहे.,𑘢𑘰𑘜𑘲 𑘕𑘲𑘪𑘡𑘰𑘭𑘰𑘙𑘲 𑘁𑘪𑘫𑘿𑘧𑘎 𑘁𑘮𑘹.,26
23,नदीचे पाणी स्वच्छ ठेवावे.,𑘡𑘟𑘲𑘓𑘹 𑘢𑘰𑘜𑘲 𑘭𑘿𑘪𑘓𑘿𑘔 𑘙𑘹𑘪𑘰𑘪𑘹.,25
24,आई स्वयंपाक घरात काम करते.,𑘁𑘃 𑘭𑘿𑘪𑘧𑘽𑘢𑘰𑘎 𑘑𑘨𑘰𑘝 𑘎𑘰𑘦 𑘎𑘨𑘝𑘹.,26
25,वडील शेतावर गेले आहेत.,𑘪𑘚𑘲𑘩 𑘫𑘹𑘝𑘰𑘪𑘨 𑘐𑘹𑘩𑘹 𑘁𑘮𑘹𑘝.,22
26,भाऊ शाळेत जातो.,𑘥𑘰𑘅 𑘫𑘰𑘯𑘹𑘝 𑘕𑘰𑘝𑘻.,15
27,बहीण विद्यालयात शिकते.,𑘤𑘮𑘲𑘜 𑘪𑘱𑘟𑘿𑘧𑘰𑘩𑘧𑘰𑘝 𑘫𑘱𑘎𑘝𑘹.,22
28,आजोबा रोज सकाळी फिरायला जातात.,𑘁𑘕𑘻𑘤𑘰 𑘨𑘻𑘕 𑘭𑘎𑘰𑘯𑘲 𑘣𑘱𑘨𑘰𑘧𑘩𑘰 𑘕𑘰𑘝𑘰𑘝.,30
29,आजी देवपूजा करते.,𑘁𑘕𑘲 𑘟𑘹𑘪𑘢𑘴𑘕𑘰 𑘎𑘨𑘝𑘹.,17
30,मुलांनी अभ्यास केला पाहिजे.,𑘦𑘳𑘩𑘰𑘽𑘡𑘲 𑘀𑘥𑘿𑘧𑘰𑘭 𑘎𑘹𑘩𑘰 𑘢𑘰𑘮𑘱𑘕𑘹.,27
31,शिक्षक विद्यार्थ्यांना शिकवतात.,𑘫𑘱𑘎𑘿𑘬𑘎 𑘪𑘱𑘟𑘿𑘧𑘰𑘨𑘿𑘞𑘿𑘧𑘰𑘽𑘡𑘰 𑘫𑘱𑘎𑘪𑘝𑘰𑘝.,31
32,पुस्तक वाचणे हा चांगला छंद आहे.,𑘢𑘳𑘭𑘿𑘝𑘎 𑘪𑘰𑘓𑘜𑘹 𑘮𑘰 𑘓𑘰𑘽𑘐𑘩𑘰 𑘔𑘽𑘟 𑘁𑘮𑘹.,31
33,ग्रंथालयात खूप पुस्तके आहेत.,𑘐𑘿𑘨𑘽𑘞𑘰𑘩𑘧𑘰𑘝 𑘏𑘴𑘢 𑘢𑘳𑘭𑘿𑘝𑘎𑘹 𑘁𑘮𑘹𑘝.,28
34,संगणकाचा वापर आजकाल सर्वत्र होतो.,𑘭𑘽𑘐𑘜𑘎𑘰𑘓𑘰 𑘪𑘰𑘢𑘨 𑘁𑘕𑘎𑘰𑘩 𑘭𑘨𑘿𑘪𑘝𑘿𑘨 𑘮𑘻𑘝𑘻.,33
35,मोबाईल फोन प्रत्येकाकडे असतो.,𑘦𑘻𑘤𑘰𑘃𑘩 𑘣𑘻𑘡 𑘢𑘿𑘨𑘝𑘿𑘧𑘹𑘎𑘰𑘎𑘚𑘹 𑘀𑘭𑘝𑘻.,29
36,बाजारात भाजी घ्यायला गेलो होतो.,𑘤𑘰𑘕𑘰𑘨𑘰𑘝 𑘥𑘰𑘕𑘲 𑘑𑘿𑘧𑘰𑘧𑘩𑘰 𑘐𑘹𑘩𑘻 𑘮𑘻𑘝𑘻.,31
37,बाजारात खूप गर्दी होती.,𑘤𑘰𑘕𑘰𑘨𑘰𑘝 𑘏𑘴𑘢 𑘐𑘨𑘿𑘟𑘲 𑘮𑘻𑘝𑘲.,23
38,आजचा दिवस खूप व्यस्त होता.,𑘁𑘕𑘓𑘰 𑘟𑘱𑘪𑘭 𑘏𑘴𑘢 𑘪𑘿𑘧𑘭𑘿𑘝 𑘮𑘻𑘝𑘰.,26
39,काल रात्री खूप पाऊस झाला.,𑘎𑘰𑘩 𑘨𑘰𑘝𑘿𑘨𑘲 𑘏𑘴𑘢 𑘢𑘰𑘅𑘭 𑘖𑘰𑘩𑘰.,25
40,हिवाळ्यात खूप थंडी पडते.,𑘮𑘱𑘪𑘰𑘯𑘿𑘧𑘰𑘝 𑘏𑘴𑘢 𑘞𑘽𑘚𑘲 𑘢𑘚𑘝𑘹.,24
41,उन्हाळ्यात खूप उकाडा असतो.,𑘄𑘡𑘿𑘮𑘰𑘯𑘿𑘧𑘰𑘝 𑘏𑘴𑘢 𑘄𑘎𑘰𑘚𑘰 𑘀𑘭𑘝𑘻.,26
42,पावसाळ्यात नद्यांना पूर येतो.,𑘢𑘰𑘪𑘭𑘰𑘯𑘿𑘧𑘰𑘝 𑘡𑘟𑘿𑘧𑘰𑘽𑘡𑘰 𑘢𑘴𑘨 𑘧𑘹𑘝𑘻.,29
43,सण साजरे करणे ही आपली परंपरा आहे.,𑘭𑘜 𑘭𑘰𑘕𑘨𑘹 𑘎𑘨𑘜𑘹 𑘮𑘲 𑘁𑘢𑘩𑘲 𑘢𑘨𑘽𑘢𑘨𑘰 𑘁𑘮𑘹.,33
44,दिवाळी हा दिव्यांचा सण आहे.,𑘟𑘱𑘪𑘰𑘯𑘲 𑘮𑘰 𑘟𑘱𑘪𑘿𑘧𑘰𑘽𑘓𑘰 𑘭𑘜 𑘁𑘮𑘹.,27
45,गणेश चतुर्थी महाराष्ट्रात मोठ्या उत्साहात साजरी होते.,𑘐𑘜𑘹𑘫 𑘓𑘝𑘳𑘨𑘿𑘞𑘲 𑘦𑘮𑘰𑘨𑘰𑘬𑘿𑘘𑘿𑘨𑘰𑘝 𑘦𑘻𑘙𑘿𑘧𑘰 𑘄𑘝𑘿𑘭𑘰𑘮𑘰𑘝 𑘭𑘰𑘕𑘨𑘲 𑘮𑘻𑘝𑘹.,53
46,होळी हा रंगांचा सण आहे.,𑘮𑘻𑘯𑘲 𑘮𑘰 𑘨𑘽𑘐𑘰𑘽𑘓𑘰 𑘭𑘜 𑘁𑘮𑘹.,23
47,मंदिरात दर्शनासाठी लोक जातात.,𑘦𑘽𑘟𑘱𑘨𑘰𑘝 𑘟𑘨𑘿𑘫𑘡𑘰𑘭𑘰𑘙𑘲 𑘩𑘻𑘎 𑘕𑘰𑘝𑘰𑘝.,29
48,देवाची पूजा रोज केली जाते.,𑘟𑘹𑘪𑘰𑘓𑘲 𑘢𑘴𑘕𑘰 𑘨𑘻𑘕 𑘎𑘹𑘩𑘲 𑘕𑘰𑘝𑘹.,26
49,गावात एक जुने मंदिर आहे.,𑘐𑘰𑘪𑘰𑘝 𑘊𑘎 𑘕𑘳𑘡𑘹 𑘦𑘽𑘟𑘱𑘨 𑘁𑘮𑘹.,24
50,किल्ल्यावर जाण्यासाठी अनेक पर्यटक येतात.,𑘎𑘱𑘩𑘿𑘩𑘿𑘧𑘰𑘪𑘨 𑘕𑘰𑘜𑘿𑘧𑘰𑘭𑘰𑘙𑘲 𑘀𑘡𑘹𑘎 𑘢𑘨𑘿𑘧𑘘𑘎 𑘧𑘹𑘝𑘰𑘝.,40
51,रायगड हा एक ऐतिहासिक किल्ला आहे.,𑘨𑘰𑘧𑘐𑘚 𑘮𑘰 𑘊𑘎 𑘋𑘝𑘱𑘮𑘰𑘭𑘱𑘎 𑘎𑘱𑘩𑘿𑘩𑘰 𑘁𑘮𑘹.,32
52,सिंहगड किल्ला पुण्याजवळ आहे.,𑘭𑘱𑘽𑘮𑘐𑘚 𑘎𑘱𑘩𑘿𑘩𑘰 𑘢𑘳𑘜𑘿𑘧𑘰𑘕𑘪𑘯 𑘁𑘮𑘹.,28
53,इतिहासाची पुस्तके वाचायला मला आवडतात.,𑘂𑘝𑘱𑘮𑘰𑘭𑘰𑘓𑘲 𑘢𑘳𑘭𑘿𑘝𑘎𑘹 𑘪𑘰𑘓𑘰𑘧𑘩𑘰 𑘦𑘩𑘰 𑘁𑘪𑘚𑘝𑘰𑘝.,37
54,जुन्या कागदपत्रांचा अभ्यास करणे रंजक आहे.,𑘕𑘳𑘡𑘿𑘧𑘰 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘰𑘽𑘓𑘰 𑘀𑘥𑘿𑘧𑘰𑘭 𑘎𑘨𑘜𑘹 𑘨𑘽𑘕𑘎 𑘁𑘮𑘹.,41
55,संग्रहालयात जुन्या वस्तू ठेवलेल्या असतात.,𑘭𑘽𑘐𑘿𑘨𑘮𑘰𑘩𑘧𑘰𑘝 𑘕𑘳𑘡𑘿𑘧𑘰 𑘪𑘭𑘿𑘝𑘴 𑘙𑘹𑘪𑘩𑘹𑘩𑘿𑘧𑘰 𑘀𑘭𑘝𑘰𑘝.,41
56,हस्तलिखित कागदपत्रे जपून ठेवावी लागतात.,𑘮𑘭𑘿𑘝𑘩𑘱𑘏𑘱𑘝 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘹 𑘕𑘢𑘴𑘡 𑘙𑘹𑘪𑘰𑘪𑘲 𑘩𑘰𑘐𑘝𑘰𑘝.,39
57,या दस्तऐवजात जमिनीची नोंद आहे.,𑘧𑘰 𑘟𑘭𑘿𑘝𑘋𑘪𑘕𑘰𑘝 𑘕𑘦𑘱𑘡𑘲𑘓𑘲 𑘡𑘻𑘽𑘟 𑘁𑘮𑘹.,30
58,हा करार दोन पक्षांमध्ये झाला होता.,𑘮𑘰 𑘎𑘨𑘰𑘨 𑘟𑘻𑘡 𑘢𑘎𑘿𑘬𑘰𑘽𑘦𑘠𑘿𑘧𑘹 𑘖𑘰𑘩𑘰 𑘮𑘻𑘝𑘰.,34
59,राजाने या गावाला जमीन दान दिली.,𑘨𑘰𑘕𑘰𑘡𑘹 𑘧𑘰 𑘐𑘰𑘪𑘰𑘩𑘰 𑘕𑘦𑘲𑘡 𑘟𑘰𑘡 𑘟𑘱𑘩𑘲.,31
60,सरकारी दफ्तरात जुन्या नोंदी सापडल्या.,𑘭𑘨𑘎𑘰𑘨𑘲 𑘟𑘣𑘿𑘝𑘨𑘰𑘝 𑘕𑘳𑘡𑘿𑘧𑘰 𑘡𑘻𑘽𑘟𑘲 𑘭𑘰𑘢𑘚𑘩𑘿𑘧𑘰.,37
61,पत्रात तारीख आणि ठिकाण लिहिलेले आहे.,𑘢𑘝𑘿𑘨𑘰𑘝 𑘝𑘰𑘨𑘲𑘏 𑘁𑘜𑘱 𑘙𑘱𑘎𑘰𑘜 𑘩𑘱𑘮𑘱𑘩𑘹𑘩𑘹 𑘁𑘮𑘹.,36
62,हे पत्र सरदारांना पाठवले होते.,𑘮𑘹 𑘢𑘝𑘿𑘨 𑘭𑘨𑘟𑘰𑘨𑘰𑘽𑘡𑘰 𑘢𑘰𑘙𑘪𑘩𑘹 𑘮𑘻𑘝𑘹.,30
63,युद्धाची माहिती या कागदपत्रात आहे.,𑘧𑘳𑘟𑘿𑘠𑘰𑘓𑘲 𑘦𑘰𑘮𑘱𑘝𑘲 𑘧𑘰 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘰𑘝 𑘁𑘮𑘹.,34
64,सैन्याने किल्ला जिंकला.,𑘭𑘺𑘡𑘿𑘧𑘰𑘡𑘹 𑘎𑘱𑘩𑘿𑘩𑘰 𑘕𑘱𑘽𑘎𑘩𑘰.,23
65,व्यापारी माल घेऊन शहरात आला.,𑘪𑘿𑘧𑘰𑘢𑘰𑘨𑘲 𑘦𑘰𑘩 𑘑𑘹𑘅𑘡 𑘫𑘮𑘨𑘰𑘝 𑘁𑘩𑘰.,28
66,बाजारपेठेत विविध वस्तू विकल्या जातात.,𑘤𑘰𑘕𑘰𑘨𑘢𑘹𑘙𑘹𑘝 𑘪𑘱𑘪𑘱𑘠 𑘪𑘭𑘿𑘝𑘴 𑘪𑘱𑘎𑘩𑘿𑘧𑘰 𑘕𑘰𑘝𑘰𑘝.,37
67,शेतीचा उत्पन्न यंदा चांगले झाले.,𑘫𑘹𑘝𑘲𑘓𑘰 𑘄𑘝𑘿𑘢𑘡𑘿𑘡 𑘧𑘽𑘟𑘰 𑘓𑘰𑘽𑘐𑘩𑘹 𑘖𑘰𑘩𑘹.,32
68,पावसामुळे पिकांचे नुकसान झाले.,𑘢𑘰𑘪𑘭𑘰𑘦𑘳𑘯𑘹 𑘢𑘱𑘎𑘰𑘽𑘓𑘹 𑘡𑘳𑘎𑘭𑘰𑘡 𑘖𑘰𑘩𑘹.,30
69,गावातील लोकांनी एकत्र येऊन मदत केली.,𑘐𑘰𑘪𑘰𑘝𑘲𑘩 𑘩𑘻𑘎𑘰𑘽𑘡𑘲 𑘊𑘎𑘝𑘿𑘨 𑘧𑘹𑘅𑘡 𑘦𑘟𑘝 𑘎𑘹𑘩𑘲.,36
70,पंचायतीने गावाच्या विकासासाठी निर्णय घेतला.,𑘢𑘽𑘓𑘰𑘧𑘝𑘲𑘡𑘹 𑘐𑘰𑘪𑘰𑘓𑘿𑘧𑘰 𑘪𑘱𑘎𑘰𑘭𑘰𑘭𑘰𑘙𑘲 𑘡𑘱𑘨𑘿𑘜𑘧 𑘑𑘹𑘝𑘩𑘰.,43
71,शाळेची इमारत नव्याने बांधली आहे.,𑘫𑘰𑘯𑘹𑘓𑘲 𑘂𑘦𑘰𑘨𑘝 𑘡𑘪𑘿𑘧𑘰𑘡𑘹 𑘤𑘰𑘽𑘠𑘩𑘲 𑘁𑘮𑘹.,32
72,रस्त्याचे काम अजून पूर्ण झालेले नाही.,𑘨𑘭𑘿𑘝𑘿𑘧𑘰𑘓𑘹 𑘎𑘰𑘦 𑘀𑘕𑘴𑘡 𑘢𑘴𑘨𑘿𑘜 𑘖𑘰𑘩𑘹𑘩𑘹 𑘡𑘰𑘮𑘲.,37
73,वीज पुरवठा काही वेळ बंद होता.,𑘪𑘲𑘕 𑘢𑘳𑘨𑘪𑘙𑘰 𑘎𑘰𑘮𑘲 𑘪𑘹𑘯 𑘤𑘽𑘟 𑘮𑘻𑘝𑘰.,29
74,पाण्याची टंचाई उन्हाळ्यात जाणवते.,𑘢𑘰𑘜𑘿𑘧𑘰𑘓𑘲 𑘘𑘽𑘓𑘰𑘃 𑘄𑘡𑘿𑘮𑘰𑘯𑘿𑘧𑘰𑘝 𑘕𑘰𑘜𑘪𑘝𑘹.,33
75,जंगलात विविध प्राणी आढळतात.,𑘕𑘽𑘐𑘩𑘰𑘝 𑘪𑘱𑘪𑘱𑘠 𑘢𑘿𑘨𑘰𑘜𑘲 𑘁𑘛𑘯𑘝𑘰𑘝.,27
76,वाघ हा जंगलाचा राजा मानला जातो.,𑘪𑘰𑘑 𑘮𑘰 𑘕𑘽𑘐𑘩𑘰𑘓𑘰 𑘨𑘰𑘕𑘰 𑘦𑘰𑘡𑘩𑘰 𑘕𑘰𑘝𑘻.,31
77,पक्षी सकाळी किलबिलाट करतात.,𑘢𑘎𑘿𑘬𑘲 𑘭𑘎𑘰𑘯𑘲 𑘎𑘱𑘩𑘤𑘱𑘩𑘰𑘘 𑘎𑘨𑘝𑘰𑘝.,27
78,फुलपाखरे बागेत उडत असतात.,𑘣𑘳𑘩𑘢𑘰𑘏𑘨𑘹 𑘤𑘰𑘐𑘹𑘝 𑘄𑘚𑘝 𑘀𑘭𑘝𑘰𑘝.,25
79,समुद्राची लाट किनारपट्टीवर आदळते.,𑘭𑘦𑘳𑘟𑘿𑘨𑘰𑘓𑘲 𑘩𑘰𑘘 𑘎𑘱𑘡𑘰𑘨𑘢𑘘𑘿𑘘𑘲𑘪𑘨 𑘁𑘟𑘯𑘝𑘹.,33
80,डोंगरावरून खाली दरी दिसते.,𑘚𑘻𑘽𑘐𑘨𑘰𑘪𑘨𑘴𑘡 𑘏𑘰𑘩𑘲 𑘟𑘨𑘲 𑘟𑘱𑘭𑘝𑘹.,26
81,सूर्य पूर्वेला उगवतो आणि पश्चिमेला मावळतो.,𑘭𑘴𑘨𑘿𑘧 𑘢𑘴𑘨𑘿𑘪𑘹𑘩𑘰 𑘄𑘐𑘪𑘝𑘻 𑘁𑘜𑘱 𑘢𑘫𑘿𑘓𑘱𑘦𑘹𑘩𑘰 𑘦𑘰𑘪𑘯𑘝𑘻.,42
82,चंद्र रात्री आकाशात दिसतो.,𑘓𑘽𑘟𑘿𑘨 𑘨𑘰𑘝𑘿𑘨𑘲 𑘁𑘎𑘰𑘫𑘰𑘝 𑘟𑘱𑘭𑘝𑘻.,26
83,तारे रात्रीच्या आकाशात चमकतात.,𑘝𑘰𑘨𑘹 𑘨𑘰𑘝𑘿𑘨𑘲𑘓𑘿𑘧𑘰 𑘁𑘎𑘰𑘫𑘰𑘝 𑘓𑘦𑘎𑘝𑘰𑘝.,30
84,आकाश आज खूप निरभ्र आहे.,𑘁𑘎𑘰𑘫 𑘁𑘕 𑘏𑘴𑘢 𑘡𑘱𑘨𑘥𑘿𑘨 𑘁𑘮𑘹.,23
85,एक होता राजा आणि एक होती राणी.,𑘊𑘎 𑘮𑘻𑘝𑘰 𑘨𑘰𑘕𑘰 𑘁𑘜𑘱 𑘊𑘎 𑘮𑘻𑘝𑘲 𑘨𑘰𑘜𑘲.,30
86,गावात एक गरीब शेतकरी राहत होता.,𑘐𑘰𑘪𑘰𑘝 𑘊𑘎 𑘐𑘨𑘲𑘤 𑘫𑘹𑘝𑘎𑘨𑘲 𑘨𑘰𑘮𑘝 𑘮𑘻𑘝𑘰.,31
87,त्याला एक हुशार मुलगा होता.,𑘝𑘿𑘧𑘰𑘩𑘰 𑘊𑘎 𑘮𑘳𑘫𑘰𑘨 𑘦𑘳𑘩𑘐𑘰 𑘮𑘻𑘝𑘰.,27
88,मुलाने खूप कष्ट करून शिक्षण पूर्ण केले.,𑘦𑘳𑘩𑘰𑘡𑘹 𑘏𑘴𑘢 𑘎𑘬𑘿𑘘 𑘎𑘨𑘴𑘡 𑘫𑘱𑘎𑘿𑘬𑘜 𑘢𑘴𑘨𑘿𑘜 𑘎𑘹𑘩𑘹.,39
89,यश मिळवण्यासाठी मेहनत आवश्यक आहे.,𑘧𑘫 𑘦𑘱𑘯𑘪𑘜𑘿𑘧𑘰𑘭𑘰𑘙𑘲 𑘦𑘹𑘮𑘡𑘝 𑘁𑘪𑘫𑘿𑘧𑘎 𑘁𑘮𑘹.,33
90,प्रामाणिकपणा हा सर्वात मोठा गुण आहे.,𑘢𑘿𑘨𑘰𑘦𑘰𑘜𑘱𑘎𑘢𑘜𑘰 𑘮𑘰 𑘭𑘨𑘿𑘪𑘰𑘝 𑘦𑘻𑘙𑘰 𑘐𑘳𑘜 𑘁𑘮𑘹.,36
91,सत्य नेहमी शेवटी जिंकते.,𑘭𑘝𑘿𑘧 𑘡𑘹𑘮𑘦𑘲 𑘫𑘹𑘪𑘘𑘲 𑘕𑘱𑘽𑘎𑘝𑘹.,24
92,मैत्री हे जीवनातील अनमोल नाते आहे.,𑘦𑘺𑘝𑘿𑘨𑘲 𑘮𑘹 𑘕𑘲𑘪𑘡𑘰𑘝𑘲𑘩 𑘀𑘡𑘦𑘻𑘩 𑘡𑘰𑘝𑘹 𑘁𑘮𑘹.,34
93,आई वडिलांचा आदर करावा.,𑘁𑘃 𑘪𑘚𑘱𑘩𑘰𑘽𑘓𑘰 𑘁𑘟𑘨 𑘎𑘨𑘰𑘪𑘰.,22
94,मोठ्यांचा मान राखावा.,𑘦𑘻𑘙𑘿𑘧𑘰𑘽𑘓𑘰 𑘦𑘰𑘡 𑘨𑘰𑘏𑘰𑘪𑘰.,21
95,लहान मुलांवर प्रेम करावे.,𑘩𑘮𑘰𑘡 𑘦𑘳𑘩𑘰𑘽𑘪𑘨 𑘢𑘿𑘨𑘹𑘦 𑘎𑘨𑘰𑘪𑘹.,25
96,एकमेकांना मदत करणे हे आपले कर्तव्य आहे.,𑘊𑘎𑘦𑘹𑘎𑘰𑘽𑘡𑘰 𑘦𑘟𑘝 𑘎𑘨𑘜𑘹 𑘮𑘹 𑘁𑘢𑘩𑘹 𑘎𑘨𑘿𑘝𑘪𑘿𑘧 𑘁𑘮𑘹.,39
97,संकटाच्या वेळी धीर सोडू नये.,𑘭𑘽𑘎𑘘𑘰𑘓𑘿𑘧𑘰 𑘪𑘹𑘯𑘲 𑘠𑘲𑘨 𑘭𑘻𑘚𑘴 𑘡𑘧𑘹.,28
98,आत्मविश्वास हा यशाचा पाया आहे.,𑘁𑘝𑘿𑘦𑘪𑘱𑘫𑘿𑘪𑘰𑘭 𑘮𑘰 𑘧𑘫𑘰𑘓𑘰 𑘢𑘰𑘧𑘰 𑘁𑘮𑘹.,30
99,शिक्षण हे प्रगतीचे साधन आहे.,𑘫𑘱𑘎𑘿𑘬𑘜 𑘮𑘹 𑘢𑘿𑘨𑘐𑘝𑘲𑘓𑘹 𑘭𑘰𑘠𑘡 𑘁𑘮𑘹.,28
100,भाषा हे संवादाचे माध्यम आहे.,𑘥𑘰𑘬𑘰 𑘮𑘹 𑘭𑘽𑘪𑘰𑘟𑘰𑘓𑘹 𑘦𑘰𑘠𑘿𑘧𑘦 𑘁𑘮𑘹.,28
101,मराठी ही महाराष्ट्राची राजभाषा आहे.,𑘦𑘨𑘰𑘙𑘲 𑘮𑘲 𑘦𑘮𑘰𑘨𑘰𑘬𑘿𑘘𑘿𑘨𑘰𑘓𑘲 𑘨𑘰𑘕𑘥𑘰𑘬𑘰 𑘁𑘮𑘹.,35
102,संस्कृती जपणे ही आपली जबाबदारी आहे.,𑘭𑘽𑘭𑘿𑘎𑘵𑘝𑘲 𑘕𑘢𑘜𑘹 𑘮𑘲 𑘁𑘢𑘩𑘲 𑘕𑘤𑘰𑘤𑘟𑘰𑘨𑘲 𑘁𑘮𑘹.,35
103,परंपरा आणि आधुनिकता यांचा समतोल असावा.,𑘢𑘨𑘽𑘢𑘨𑘰 𑘁𑘜𑘱 𑘁𑘠𑘳𑘡𑘱𑘎𑘝𑘰 𑘧𑘰𑘽𑘓𑘰 𑘭𑘦𑘝𑘻𑘩 𑘀𑘭𑘰𑘪𑘰.,38
